date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:25	2578/2578	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:24%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fnexos-peru-alista-su-expansion-internacional%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed1c6d.json	(from https://www.nexosperu.com.pe/nexos-peru-alista-su-expansion-internacional/)
08:51:26	2711/2711	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:25%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fnexos-peru-alista-su-expansion-internacional%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embedfa92	(from https://www.nexosperu.com.pe/nexos-peru-alista-su-expansion-internacional/)
08:51:27	190615/190615	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:47:53%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b01-1.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b01-1.jpg	(from https://www.nexosperu.com.pe/nexos-peru-alista-su-expansion-internacional/)
08:51:28	2638/2638	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:26%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fmatias-o-la-patente-de-un-nuevo-sistema-modular-ecoamigable%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed9e38.json	(from https://www.nexosperu.com.pe/matias-o-la-patente-de-un-nuevo-sistema-modular-ecoamigable/)
08:51:29	2771/2771	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:27%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fmatias-o-la-patente-de-un-nuevo-sistema-modular-ecoamigable%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed91b9	(from https://www.nexosperu.com.pe/matias-o-la-patente-de-un-nuevo-sistema-modular-ecoamigable/)
08:51:29	76294/76294	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:47:42%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b02.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/12/noticia-00b02.jpg	(from https://www.nexosperu.com.pe/matias-o-la-patente-de-un-nuevo-sistema-modular-ecoamigable/)
08:51:30	2559/2559	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:29%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fmatias-vivienda-para-atencion-a-desastres%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embede8db.json	(from https://www.nexosperu.com.pe/matias-vivienda-para-atencion-a-desastres/)
08:51:31	2692/2692	---MC-	200	added ('OK')	text/xml	date:Mon,%2025%20May%202020%2013:51:30%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fmatias-vivienda-para-atencion-a-desastres%2F&format=xml	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embed2b31	(from https://www.nexosperu.com.pe/matias-vivienda-para-atencion-a-desastres/)
08:51:32	134358/134358	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2010:50:34%20GMT	https://www.nexosperu.com.pe/wp-content/uploads/2018/03/noticia-matias-gr.jpg	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-content/uploads/2018/03/noticia-matias-gr.jpg	(from https://www.nexosperu.com.pe/matias-vivienda-para-atencion-a-desastres/)
08:51:33	2474/2474	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20May%202020%2013:51:31%20GMT	https://www.nexosperu.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.nexosperu.com.pe%2Fconcurso-de-history-channel%2F	C:/Users/Alex%20ramos%20scorpions/Documents/firstwebleon/www.nexosperu.com.pe/wp-json/oembed/1.0/embeda139.json	(from https://www.nexosperu.com.pe/concurso-de-history-channel/)
